"trial","subject_id","net","vignette","vignette_sex","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","neighbor_list","neighbor_avg_1","all_neighbor_list","neighbor_estimates_1","neighbor_avg_2","neighbor_estimates_2"
1,2125,"Control",1.1,"F",75,60,60,"C","B","C",14,"C",NA,NA,NA,NA,NA,NA
1,2195,"Control",1.1,"F",5,2,4,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,2240,"Control",1.1,"F",8,2,1,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,2260,"Control",1.1,"F",2,10,5,"C","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,234,"Control",1.1,"F",2,7,13,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,377,"Control",1.1,"F",NA,85,16,NA,"A","A",14,"C",NA,NA,NA,NA,NA,NA
1,385,"Control",1.1,"F",60,70,1,"C","C","B",14,"C",NA,NA,NA,NA,NA,NA
1,402,"Control",1.1,"F",40,NA,NA,"A",NA,NA,14,"C",NA,NA,NA,NA,NA,NA
1,42,"Control",1.1,"F",5,1,1,"C","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,513,"Control",1.1,"F",100,90,50,"A","C","A",14,"C",NA,NA,NA,NA,NA,NA
1,563,"Control",1.1,"F",2,4,3,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,881,"Control",1.1,"F",50,15,15,"A","C","C",14,"C",NA,NA,NA,NA,NA,NA
1,923,"Control",1.1,"F",60,60,40,"C","B","B",14,"C",NA,NA,NA,NA,NA,NA
1,985,"Control",1.1,"F",15,5,25,"A","A","A",14,"C",NA,NA,NA,NA,NA,NA
10,1007,"Control",1.1,"M",5,10,30,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1074,"Control",1.1,"M",1,2,5,"C","B","A",14,"C",NA,NA,NA,NA,NA,NA
10,1118,"Control",1.1,"M",25,50,NA,"B","A",NA,14,"C",NA,NA,NA,NA,NA,NA
10,1121,"Control",1.1,"M",NA,15,1,NA,"C","B",14,"C",NA,NA,NA,NA,NA,NA
10,113,"Control",1.1,"M",14,14,14,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1203,"Control",1.1,"M",30,10,20,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1285,"Control",1.1,"M",5,8,8,"A","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1355,"Control",1.1,"M",2,2,2,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
10,1546,"Control",1.1,"M",15,15,15,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1561,"Control",1.1,"M",8,10,9,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1698,"Control",1.1,"M",0,0,0,"C","C","B",14,"C",NA,NA,NA,NA,NA,NA
10,1843,"Control",1.1,"M",8,15,12,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1890,"Control",1.1,"M",NA,15,16,NA,"C","C",14,"C",NA,NA,NA,NA,NA,NA
10,1899,"Control",1.1,"M",20,20,20,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,2053,"Control",1.1,"M",NA,5,4,NA,"C","C",14,"C",NA,NA,NA,NA,NA,NA
10,2160,"Control",1.1,"M",14,14,14,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,2161,"Control",1.1,"M",2,0,2.5,"B","B","B",14,"C",NA,NA,NA,NA,NA,NA
10,2203,"Control",1.1,"M",NA,14,14,NA,"C","C",14,"C",NA,NA,NA,NA,NA,NA
10,307,"Control",1.1,"M",10,25,15,"A","C","A",14,"C",NA,NA,NA,NA,NA,NA
10,358,"Control",1.1,"M",50,100,50,"A","C","A",14,"C",NA,NA,NA,NA,NA,NA
10,465,"Control",1.1,"M",50,14,14,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,580,"Control",1.1,"M",0,50,10,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,675,"Control",1.1,"M",5,14,14,"C","C","A",14,"C",NA,NA,NA,NA,NA,NA
10,706,"Control",1.1,"M",14,14,14,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,795,"Control",1.1,"M",75,75,80,"C","C","A",14,"C",NA,NA,NA,NA,NA,NA
10,824,"Control",1.1,"M",75,75,75,"C","C","C",14,"C",NA,NA,NA,NA,NA,NA
10,86,"Control",1.1,"M",0,0,0,"B","C","C",14,"C",NA,NA,NA,NA,NA,NA
13,1052,"Control",1.2,"F",1,0.1,2,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1067,"Control",1.2,"F",0,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1141,"Control",1.2,"F",10,15,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1144,"Control",1.2,"F",NA,5,5,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1204,"Control",1.2,"F",10,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1240,"Control",1.2,"F",NA,5,5,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1345,"Control",1.2,"F",30,30,50,"A","A","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,135,"Control",1.2,"F",50,20,20,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1402,"Control",1.2,"F",5,10,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1448,"Control",1.2,"F",0,5,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1536,"Control",1.2,"F",10,20,10,"A","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1685,"Control",1.2,"F",10,10,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,1747,"Control",1.2,"F",13,11,9,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,195,"Control",1.2,"F",0,5,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,2001,"Control",1.2,"F",75,33,NA,"B","A",NA,0.5,"A",NA,NA,NA,NA,NA,NA
13,2027,"Control",1.2,"F",8,8,8,"A","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,2092,"Control",1.2,"F",5,5,NA,"A","A",NA,0.5,"A",NA,NA,NA,NA,NA,NA
13,215,"Control",1.2,"F",5,50,10,"A","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,306,"Control",1.2,"F",21,21,NA,"A","A",NA,0.5,"A",NA,NA,NA,NA,NA,NA
13,459,"Control",1.2,"F",5,3,3,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,503,"Control",1.2,"F",10,25,30,"A","A","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,515,"Control",1.2,"F",15,15,15,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,536,"Control",1.2,"F",0,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,544,"Control",1.2,"F",2,3,3,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,623,"Control",1.2,"F",30,30,20,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,670,"Control",1.2,"F",NA,60,60,NA,"B","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,69,"Control",1.2,"F",10,1,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,727,"Control",1.2,"F",1,1,1,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,732,"Control",1.2,"F",15,8,14,"A","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,739,"Control",1.2,"F",60,75,NA,"A","B",NA,0.5,"A",NA,NA,NA,NA,NA,NA
13,754,"Control",1.2,"F",NA,40,30,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,83,"Control",1.2,"F",50,65,60,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,830,"Control",1.2,"F",7,10,7,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,858,"Control",1.2,"F",50,0,0,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,908,"Control",1.2,"F",2,NA,NA,"A",NA,NA,0.5,"A",NA,NA,NA,NA,NA,NA
13,96,"Control",1.2,"F",50,35,35,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
13,964,"Control",1.2,"F",8,8,8,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
13,969,"Control",1.2,"F",NA,0,0,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,1190,"Control",1.2,"M",5,5,5,"A","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,1200,"Control",1.2,"M",50,25,10,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,1220,"Control",1.2,"M",NA,40,NA,NA,"B",NA,0.5,"A",NA,NA,NA,NA,NA,NA
16,1347,"Control",1.2,"M",5,8,8,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,1432,"Control",1.2,"M",10,10,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,1438,"Control",1.2,"M",5,5,0,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,154,"Control",1.2,"M",35,35,45,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,1724,"Control",1.2,"M",0,0,5,"A","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,190,"Control",1.2,"M",10,10,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,1922,"Control",1.2,"M",65,45,40,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,197,"Control",1.2,"M",10,12,12,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,2041,"Control",1.2,"M",50,20,20,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,2096,"Control",1.2,"M",10,NA,20,"B",NA,"A",0.5,"A",NA,NA,NA,NA,NA,NA
16,2130,"Control",1.2,"M",10,10,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,2168,"Control",1.2,"M",NA,1,1,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,2204,"Control",1.2,"M",15,10,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,260,"Control",1.2,"M",40,5,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,31,"Control",1.2,"M",20,12,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,343,"Control",1.2,"M",15,13,17,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,391,"Control",1.2,"M",50,50,50,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,41,"Control",1.2,"M",5,3,3,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,48,"Control",1.2,"M",50,30,10,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,508,"Control",1.2,"M",75,75,50,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,511,"Control",1.2,"M",5,10,7,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,543,"Control",1.2,"M",10,5,3,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,552,"Control",1.2,"M",15,10,8,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,589,"Control",1.2,"M",90,80,75,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,664,"Control",1.2,"M",40,10,10,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,734,"Control",1.2,"M",80,85,25,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,748,"Control",1.2,"M",30,30,25,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,769,"Control",1.2,"M",25,20,20,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
16,798,"Control",1.2,"M",2,2,2,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
16,927,"Control",1.2,"M",8,8,13,"B","A","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,1062,"Control",1.2,"F",NA,8,8,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1167,"Control",1.2,"F",75,40,99,"A","A","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,1198,"Control",1.2,"F",30,20,20,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1218,"Control",1.2,"F",5,10,15,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1291,"Control",1.2,"F",20,60,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1382,"Control",1.2,"F",5,7,3,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1415,"Control",1.2,"F",20,5,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,149,"Control",1.2,"F",10,20,60,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,166,"Control",1.2,"F",15,15,15,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,1745,"Control",1.2,"F",10,50,25,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1792,"Control",1.2,"F",20,22,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1794,"Control",1.2,"F",10,40,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1835,"Control",1.2,"F",50,0,0,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,1921,"Control",1.2,"F",21,62,21,"A","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,2,"Control",1.2,"F",25,25,25,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,2056,"Control",1.2,"F",5,6,6,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,2164,"Control",1.2,"F",50,55,55,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,2175,"Control",1.2,"F",100,75,50,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,229,"Control",1.2,"F",15,5,7,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,238,"Control",1.2,"F",NA,14,0,NA,"B","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,296,"Control",1.2,"F",20,60,4,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,382,"Control",1.2,"F",10,5,18,"A","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,40,"Control",1.2,"F",20,10,30,"A","A","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,560,"Control",1.2,"F",NA,NA,NA,NA,NA,NA,0.5,"A",NA,NA,NA,NA,NA,NA
19,598,"Control",1.2,"F",15,15,15,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,600,"Control",1.2,"F",75,75,0,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,619,"Control",1.2,"F",5,5,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,659,"Control",1.2,"F",5,10,5,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,745,"Control",1.2,"F",0,1,1,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,765,"Control",1.2,"F",40,40,40,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,831,"Control",1.2,"F",15,15,15,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
19,919,"Control",1.2,"F",10,10,10,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,93,"Control",1.2,"F",50,NA,16,"B",NA,"B",0.5,"A",NA,NA,NA,NA,NA,NA
19,941,"Control",1.2,"F",14,14,14,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,948,"Control",1.2,"F",60,15,15,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
19,976,"Control",1.2,"F",10,10,10,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,103,"Control",1.2,"M",5,10,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1154,"Control",1.2,"M",NA,15,15,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1183,"Control",1.2,"M",10,10,15,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,12,"Control",1.2,"M",0,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1335,"Control",1.2,"M",NA,1,0,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1339,"Control",1.2,"M",0,10,20,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,140,"Control",1.2,"M",30,50,50,"B","A","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,1528,"Control",1.2,"M",10,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1572,"Control",1.2,"M",0,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,163,"Control",1.2,"M",25,20,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1660,"Control",1.2,"M",5,2,2,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,167,"Control",1.2,"M",8,8,0,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,173,"Control",1.2,"M",25,50,75,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,1740,"Control",1.2,"M",NA,NA,NA,NA,NA,NA,0.5,"A",NA,NA,NA,NA,NA,NA
22,1832,"Control",1.2,"M",NA,2,1,NA,"A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,1892,"Control",1.2,"M",1,2,2,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,2071,"Control",1.2,"M",10,NA,8,"A",NA,"A",0.5,"A",NA,NA,NA,NA,NA,NA
22,2104,"Control",1.2,"M",NA,5,5,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,2167,"Control",1.2,"M",65,65,65,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,2227,"Control",1.2,"M",13,15,0,"B","B","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,232,"Control",1.2,"M",5,5,5,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,242,"Control",1.2,"M",25,10,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,284,"Control",1.2,"M",45,78,78,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,292,"Control",1.2,"M",0,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,302,"Control",1.2,"M",0,5,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,315,"Control",1.2,"M",5,5,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,387,"Control",1.2,"M",14,1,1,"B","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,425,"Control",1.2,"M",0,0,0,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,472,"Control",1.2,"M",2,2,2,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,523,"Control",1.2,"M",5,5,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,645,"Control",1.2,"M",15,10,10,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,647,"Control",1.2,"M",45,55,65,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,67,"Control",1.2,"M",5,1,1,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
22,737,"Control",1.2,"M",50,60,50,"B","B","B",0.5,"A",NA,NA,NA,NA,NA,NA
22,75,"Control",1.2,"M",5,5,5,"A","A","A",0.5,"A",NA,NA,NA,NA,NA,NA
25,1029,"Control",1.3,"F",10,5,5,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
25,1095,"Control",1.3,"F",15,15,15,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,1111,"Control",1.3,"F",5,10,3,"C","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,1164,"Control",1.3,"F",15,12,12,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,1193,"Control",1.3,"F",3,7,7,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,1350,"Control",1.3,"F",10,5,2.5,"B","B","A",57,"B",NA,NA,NA,NA,NA,NA
25,1354,"Control",1.3,"F",25,50,50,"C","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,142,"Control",1.3,"F",7.5,7.5,7.5,"B","C","B",57,"B",NA,NA,NA,NA,NA,NA
25,1462,"Control",1.3,"F",15,15,15,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,1513,"Control",1.3,"F",10,5,8,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
25,1586,"Control",1.3,"F",3,2,3,"B","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,177,"Control",1.3,"F",10,10,10,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,1873,"Control",1.3,"F",50,40,40,"B","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,200,"Control",1.3,"F",30,20,25,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,2002,"Control",1.3,"F",14,14,14,"C","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,2049,"Control",1.3,"F",10,30,5,"C","C","A",57,"B",NA,NA,NA,NA,NA,NA
25,2123,"Control",1.3,"F",NA,7,NA,NA,"C",NA,57,"B",NA,NA,NA,NA,NA,NA
25,2126,"Control",1.3,"F",10,1,NA,"C","A",NA,57,"B",NA,NA,NA,NA,NA,NA
25,221,"Control",1.3,"F",5,14,0.2,"C","B","A",57,"B",NA,NA,NA,NA,NA,NA
25,230,"Control",1.3,"F",16,16,60,"B","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,316,"Control",1.3,"F",10,1,1,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
25,320,"Control",1.3,"F",15,15,15,"C","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,390,"Control",1.3,"F",2,16,16,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
25,392,"Control",1.3,"F",5,10,5,"C","B","C",57,"B",NA,NA,NA,NA,NA,NA
25,447,"Control",1.3,"F",10,10,10,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
25,456,"Control",1.3,"F",28,28,28,"B","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,489,"Control",1.3,"F",15,17,15,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,5,"Control",1.3,"F",8,6,7,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,581,"Control",1.3,"F",13,8,NA,"C","C",NA,57,"B",NA,NA,NA,NA,NA,NA
25,604,"Control",1.3,"F",5,6,6,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,70,"Control",1.3,"F",14,14,14,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,711,"Control",1.3,"F",20,18,16,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,733,"Control",1.3,"F",30,35,25,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
25,762,"Control",1.3,"F",20,20,14,"C","B","B",57,"B",NA,NA,NA,NA,NA,NA
25,922,"Control",1.3,"F",50,75,NA,"C","B",NA,57,"B",NA,NA,NA,NA,NA,NA
25,952,"Control",1.3,"F",5,5,5,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
28,1050,"Control",1.3,"M",25,22,23,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,106,"Control",1.3,"M",40,25,50,"B","B","B",57,"B",NA,NA,NA,NA,NA,NA
28,1197,"Control",1.3,"M",20,15,15,"B","B","B",57,"B",NA,NA,NA,NA,NA,NA
28,1234,"Control",1.3,"M",NA,15,0,NA,"A","A",57,"B",NA,NA,NA,NA,NA,NA
28,1307,"Control",1.3,"M",5,5,5,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
28,1349,"Control",1.3,"M",14,14,14,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,1490,"Control",1.3,"M",15,15,15,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,152,"Control",1.3,"M",30,15,8,"C","A","A",57,"B",NA,NA,NA,NA,NA,NA
28,1523,"Control",1.3,"M",15,15,16,"C","B","B",57,"B",NA,NA,NA,NA,NA,NA
28,1577,"Control",1.3,"M",30,30,30,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,1585,"Control",1.3,"M",15,15,15,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,1684,"Control",1.3,"M",3,4,3,"A","B","B",57,"B",NA,NA,NA,NA,NA,NA
28,1795,"Control",1.3,"M",14,14,14,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,1805,"Control",1.3,"M",14,14,NA,"C","C",NA,57,"B",NA,NA,NA,NA,NA,NA
28,1847,"Control",1.3,"M",NA,20,20,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,1857,"Control",1.3,"M",20,10,14,"C","C","C",57,"B",NA,NA,NA,NA,NA,NA
28,1946,"Control",1.3,"M",5,2,3,"A","A","A",57,"B",NA,NA,NA,NA,NA,NA
28,2054,"Control",1.3,"M",16.6,50,65,"B","B","B",57,"B",NA,NA,NA,NA,NA,NA
